,company,website,locations,sales_data,restricted,authwall,data_error1,data_error2,scraper_error,select_section_error,linkedin_url
27,"Access Co., Ltd.",https://www.access-company.com/,{'JP': ['Chiyodaku']},"{'country': ['Japan', 'Within 23 wards, Tokyo, Japan', 'Yokohama, Kanagawa, Japan'], 'sales_count': ['3', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/access-co-ltd/about/
28,Access Intelligence Plc,https://www.accessintelligence.com/,{'GB': ['London']},"{'country': ['United Kingdom', 'London, United Kingdom'], 'sales_count': ['3', '2']}",False,False,,,,,https://www.linkedin.com/company/access-intelligence-plc/about/
29,accesso Technology Group plc,https://www.accesso.com/,"{'US': ['Lake Mary', 'Fresno'], 'GB': ['Twyford'], 'MX': ['Colonia Nápoles']}","{'country': ['United States', 'United Kingdom', 'Orlando, Florida Area', 'Norfolk, Virginia Area', 'London, United Kingdom', 'Blackpool, United Kingdom', 'Preston, United Kingdom', 'Slough, United Kingdom', 'Hong Kong', 'India', 'Mexico', 'Greater Chicago Area', 'Corpus Christi, Texas Area', 'Glens Falls, New York Area', 'Dallas/Fort Worth Area'], 'sales_count': ['19', '4', '3', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/accesso/about/
30,Ace Software Exports Limited,http://www.acesoftex.com/,{},,False,False,1.0,1.0,,,https://www.linkedin.com/company/ace-software-export-limited/about/
31,Acer e-Enabling Service Business Inc.,https://www.aceraeb.com/mainssl/modules/MySpace/index.php,,,False,False,,,,,https://www.linkedin.com/company/acer/?trk=ppro_cprof
32,Achiko AG,https://www.achiko.com/,{'CH': ['Zurich']},"{'country': ['Indonesia', 'United Kingdom', 'London, United Kingdom', 'Greater Jakarta Area, Indonesia', 'Denpasar Area, Bali, Indonesia'], 'sales_count': ['2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/achiko/about/
33,"ACI Worldwide, Inc.",https://www.aciworldwide.com/,"{'US': ['Coral Gables', 'Norcross'], 'IN': ['Mumbai']}","{'country': ['United States', 'United Kingdom', 'Greater Omaha Area', 'Bangladesh', 'India', 'Greater Boston Area', 'South Africa', 'Greater Atlanta Area', 'Canada', 'Singapore', 'United Arab Emirates', 'Watford, United Kingdom', 'Australia', 'Brazil', 'Toronto, Canada Area'], 'sales_count': ['155', '38', '31', '19', '18', '14', '13', '12', '10', '10', '9', '9', '8', '8', '8']}",False,False,,,,,https://www.linkedin.com/company/aci-worldwide/about/
34,"Aclaris Therapeutics, Inc.",https://www.aclaristx.com/,"{'US': ['Wayne', 'St Louis']}","{'country': ['United States', 'Greater Boston Area', 'Greater New York City Area'], 'sales_count': ['2', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/aclaris-therapeutics-inc-/about/
35,ACTEOS S.A.,https://www.acteos.com/,"{'FR': ['Roubaix'], 'LB': ['Zalka'], 'DE': ['Gilching']}",,False,False,,,,,https://www.linkedin.com/company/acteos/about/
36,ActiveOps Plc,https://activeops.com/,"{'GB': ['Reading'], 'US': ['New York', 'Irving'], 'AU': ['Kensington'], 'ZA': ['Rosebank'], 'IN': ['Bangalore']}","{'country': ['United States', 'United Kingdom', 'Australia', 'Melbourne, Australia', 'Dallas/Fort Worth Area', 'Greater New York City Area', 'South Africa', 'Canada', 'London, United Kingdom', 'Reading, United Kingdom', 'India', 'Greater Atlanta Area', 'Greater Boston Area', 'Adelaide, Australia', 'Brisbane, Australia'], 'sales_count': ['17', '12', '6', '4', '4', '3', '3', '2', '2', '2', '2', '2', '2', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/activeops/about/
37,Activium Group SAS,https://www.activium-id.com/,"{'FR': ['Clichy', 'Lyon']}","{'country': ['France', 'Paris Area, France', 'Bordeaux Area, France', 'Lyon Area, France'], 'sales_count': ['20', '17', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/computers-groupe-activium/about/
38,Actual Experience plc,https://www.actual-experience.com/,{'GB': ['Bath']},"{'country': ['United Kingdom', 'Bath, United Kingdom', 'Bristol, United Kingdom', 'London, United Kingdom'], 'sales_count': ['4', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/actual-experience/about/
39,Adacel Technologies Limited,https://www.adacel.com/,"{'US': ['Orlando'], 'CA': ['Montreal'], 'AU': ['Port Melbourne']}","{'country': ['United States', 'Canada', 'Montreal, Canada Area', 'Orlando, Florida Area', 'United Arab Emirates', 'Germany', 'Stuttgart Area, Germany', 'Spain', 'Girona, Spain', 'India', 'New Delhi Area, India', 'Dothan, Alabama Area', 'Dallas/Fort Worth Area', 'Kansas City, Missouri Area', 'Las Vegas, Nevada Area'], 'sales_count': ['10', '3', '3', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/adacel/about/
40,Adaptive Biotechnologies Corporation,https://www.adaptivebiotech.com/,"{'US': ['Seattle', 'South San Francisco']}","{'country': ['United States', 'Greater Seattle Area', 'Greater New York City Area', 'Baltimore, Maryland Area', 'Greater Philadelphia Area', 'Columbus, Ohio Area', 'Greater Detroit Area', 'Jackson, Mississippi Area', 'Miami/Fort Lauderdale Area', 'Greater Boston Area', 'San Francisco Bay Area', 'Bosnia and Herzegovina', 'Germany', 'Hamburg Area, Germany', 'France'], 'sales_count': ['65', '10', '4', '3', '3', '2', '2', '2', '2', '2', '2', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/adaptive-biotechnologies-corp-/about/
41,Adcore Inc.,https://www.adcore.com/,"{'IL': ['Tel Aviv'], 'US': ['New York'], 'AU': ['St. Kilda'], 'CA': ['Toronto']}","{'country': ['Israel', 'China'], 'sales_count': ['2', '1']}",False,False,,,,,https://www.linkedin.com/company/adcoreinc/about/
42,AddLife AB,https://www.add.life/,{'SE': ['Stockholm']},"{'country': ['Sweden', 'Stockholm, Sweden', 'Finland', 'Nigeria', 'Gothenburg, Sweden'], 'sales_count': ['4', '3', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/addlife-ab/about/
43,Addnode Group AB,https://www.addnodegroup.com/sv,{'SE': ['Stockholm']},"{'country': ['Sweden', 'United Kingdom', 'Norway', 'Oslo Area, Norway', 'Stockholm, Sweden', 'Germany', 'Stockholm County, Sweden', 'Finland', 'Gothenburg, Sweden', 'Helsinki Area, Finland', 'Enfield, United Kingdom', 'London, United Kingdom', 'Denmark', 'Linkoping, Sweden', 'Munich Area, Germany'], 'sales_count': ['65', '36', '18', '13', '13', '12', '11', '10', '10', '7', '6', '5', '4', '4', '3']}",False,False,,,,,https://www.linkedin.com/company/addnode-group-ab/about/
44,adesso SE,https://www.adesso.de/de/,"{'DE': ['Dortmund', 'Berlin', 'Stralsund', 'Hamburg', 'Hannover', 'Essen', 'Jena', 'Köln', 'Aachen', 'Frankfurt am Main', 'Nürnberg', 'Karlsruhe', 'Stuttgart', 'München', 'Reutlingen', 'Düsseldorf', 'Bonn', 'Rostock', 'Leipzig'], 'AT': ['Wien'], 'CH': ['Basel', 'Zürich', 'Bern', 'Lausanne'], 'BG': ['Sofia'], 'TR': ['Istanbul'], 'ES': ['Sant Cugat del Vallès', 'Madrid', 'Jeréz de la Frontera'], 'NL': ['Amsterdam'], 'HU': ['Budapest']}","{'country': ['Germany', 'Cologne Area, Germany', 'Frankfurt Am Main Area, Germany', 'Dortmund Area, Germany', 'Munich Area, Germany', 'Stuttgart Area, Germany', 'Hamburg Area, Germany', 'Berlin Area, Germany', 'Essen Area, Germany', 'Hannover Area, Germany', 'Kreisfreie Stadt Aachen Area, Germany', 'Mannheim Area, Germany', 'Switzerland', 'Zürich Area, Switzerland', 'Cote D’Ivoire (Ivory Coast)'], 'sales_count': ['170', '38', '29', '22', '19', '14', '10', '7', '4', '2', '2', '2', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/adesso-se/about/
45,Adherium Limited,https://www.adherium.com/,"{'NZ': ['Auckland'], 'AU': ['Melbourne']}",,False,False,,,,,https://www.linkedin.com/company/adherium/about/
46,ADM Korea Inc.,http://www.admkorea.co.kr/,{'KR': ['Seoul']},,False,False,,,,,https://www.linkedin.com/company/adm-korea-inc-/about/
47,Admicom Oyj,https://admicom.fi/,"{'FI': ['Jyväskylä', 'Helsinki', 'Tampere', 'Oulu', 'Seinäjoki', 'Turku']}","{'country': ['Finland', 'Jyv\x9dskyl\x9d Area, Finland', 'Helsinki Area, Finland', 'Tampere Area, Finland', 'Oulu Area, Finland', 'Turku Area, Finland', 'Kuopio Area, Finland'], 'sales_count': ['19', '8', '5', '2', '2', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/admicom-oy/about/
48,Adobe Inc.,http://www.adobe.com,"{'US': ['San Jose', 'Seattle', 'New York', 'Lehi', 'San Francisco', 'Emeryville'], 'AU': ['Sydney'], 'FR': ['Paris'], 'DE': ['Munich'], 'CA': ['Toronto'], 'RO': ['Bucharest']}","{'country': ['United States', 'India', 'San Francisco Bay Area', 'United Kingdom', 'Greater New York City Area', 'Germany', 'Australia', 'New Delhi Area, India', 'London, United Kingdom', 'Provo, Utah Area', 'Japan', 'Sydney, Australia', 'Greater Denver Area', 'Greater Salt Lake City Area', 'France'], 'sales_count': ['1,892', '511', '403', '351', '209', '189', '164', '162', '152', '148', '134', '120', '109', '107', '97']}",False,False,,,,,https://www.linkedin.com/company/adobe/about/
49,Adroit Infotech Limited,http://www.adroitinfotech.com/,{'IN': ['Pune']},"{'country': ['India', 'United Arab Emirates', 'Hyderabad Area, India', 'Pandharpur Area, India', 'Pune Area, India'], 'sales_count': ['5', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/adroit-infotech-pvt.-ltd./about/
50,Advanced Bitcoin Technologies AG,https://www.abt-ag.com/en/,{'DE': ['Frankfurt am Main']},,False,False,,,,,https://www.linkedin.com/company/advanced-bitcoin-technologies-ag/about/
51,Advanced Information Technology Public Company Limited,https://www.ait.co.th/en/home,{'TH': ['Bangkok']},"{'country': ['Thailand', 'Bangkok Metropolitan Area, Thailand', 'Cambodia', 'Chonburi, Thailand', 'Rayong, Thailand', 'Chiang Rai, Thailand'], 'sales_count': ['38', '25', '1', '1', '1', '1']}",False,False,,,,,https://www.linkedin.com/company/advanced-information-technology-public-co.-ltd./about/
52,"Advanced Media, Inc.",https://www.advanced-media.co.jp/,"{'JP': ['豊島区', '大阪市中央区', '名古屋市東区', '福岡市博多区']}","{'country': ['Japan'], 'sales_count': ['2']}",False,False,,,,,https://www.linkedin.com/company/advancedmedia/about/
53,Advenica AB,https://advenica.com/,"{'SE': ['Malmö', 'Stockholm'], 'FI': ['Helsinki'], 'AT': ['Vienna']}","{'country': ['Sweden', 'Malmo, Sweden', 'Trelleborg, Sweden'], 'sales_count': ['4', '3', '1']}",False,False,,,,,https://www.linkedin.com/company/advenica-ab/about/
